,mr_is_curve,mr_is_oneway,mr_has_delimiter,mr_sidewalk_delimiter,mr_left_sidewalk,mr_right_sidewalk,cw_before_intersect,cw_after_intersect,cw_left_intersect,cw_right_intersect,cw_on_mainroad,srl_exists,srr_exists,sr_ends_mr,num_left_lanes,num_right_lanes,mr_rotation,srr_width,srr_dist,srl_width,srl_dist,mr_delimiter_width,cw_on_mainroad_dist,mr_sidewalk_delimiter_width,mr_curve_radius,mode,seq,frame,mr_num_lanes,sideroad,mr_sidewalk
10,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,0,14.8,16.87,14.8,16.87,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,10,1,both,both
11,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,0,14.8,15.92,14.8,15.92,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,11,1,both,both
12,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,0,14.8,15.68,14.8,15.68,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,12,1,both,both
13,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,0,14.8,15.15,14.8,15.15,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,13,1,both,both
14,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,0,14.8,14.94,14.8,14.94,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,14,1,both,both
15,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,0,14.8,13.86,14.8,13.86,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,15,1,both,both
16,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,0,14.8,13,14.8,13,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,16,1,both,both
17,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,0,14.8,12.63,14.8,12.63,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,17,1,both,both
18,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,0,14.8,12.07,14.8,12.07,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,18,1,both,both
19,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,0,14.8,10,14.8,10,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,19,1,both,both
20,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,0,14.8,8,14.8,8,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,20,1,both,both
21,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,0,14.8,5.86,14.8,5.86,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,21,1,both,both
22,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,0,14.8,2,14.8,2,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,22,1,both,both
23,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,0,14.8,0,14.8,0,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,23,1,both,both
24,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,0,14.8,0,14.8,0,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,24,1,both,both
25,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,25,1,both,both
26,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,26,1,both,both
27,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,27,1,both,both
28,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,28,1,both,both
29,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,29,1,both,both
30,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,30,1,both,both
31,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,31,1,none,both
32,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,32,1,none,both
33,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,33,1,none,both
34,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,34,1,none,both
35,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,35,1,none,both
36,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,36,1,none,both
37,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,37,1,none,both
38,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,14.8,20,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,38,1,right,both
39,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,14.8,19,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,39,1,right,both
40,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,14.8,18,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,40,1,right,both
41,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,14.8,17,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,41,1,right,both
42,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,14.8,16,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,42,1,right,both
43,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,14.8,15,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,43,1,right,both
44,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,14.8,14,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,44,1,right,both
45,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,14.8,13,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,45,1,right,both
46,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,14.8,12,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,46,1,right,both
47,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,14.8,11,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,47,1,right,both
48,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,14.8,10,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,48,1,right,both
49,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,14.8,9,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,49,1,right,both
50,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,14.8,8,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,50,1,right,both
51,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,14.8,7,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,51,1,right,both
52,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,14.8,6,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,52,1,right,both
53,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,14.8,5,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,53,1,right,both
54,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,14.8,4,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,54,1,right,both
55,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,14.8,3,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,55,1,right,both
56,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,14.8,2,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,56,1,right,both
57,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,14.8,1,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,57,1,right,both
58,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,14.8,0,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,58,1,right,both
59,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,59,1,right,both
60,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,60,1,right,both
61,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,61,1,right,both
62,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,62,1,right,both
63,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,63,1,right,both
64,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,64,1,none,both
65,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,65,1,none,both
66,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,66,1,none,both
67,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,67,1,none,both
68,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,68,1,none,both
69,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,69,1,none,both
70,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,70,1,none,both
71,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,71,1,none,both
72,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,72,1,none,both
73,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,73,1,none,both
74,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,74,1,none,both
75,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,75,1,none,both
76,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,76,1,none,both
77,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,77,1,none,both
78,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,78,1,none,both
79,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,79,1,none,both
80,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,80,1,none,both
81,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,81,1,none,both
82,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,82,1,none,both
83,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,83,1,none,both
84,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,84,1,none,both
85,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,85,1,none,both
86,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,86,1,none,both
87,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,87,1,none,both
88,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,88,1,none,both
89,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,89,1,none,both
90,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,90,1,none,both
91,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,91,1,none,both
92,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,92,1,none,both
93,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,93,1,none,both
94,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,94,1,none,both
95,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,95,1,none,both
96,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,96,1,none,both
97,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,97,1,none,both
98,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,98,1,none,both
